CumEpisodes,Reward,Success,Elimination
1000,46.05,True,False
2000,41.49,False,False
3000,35.32,True,False
4000,34.38,True,False
5000,61.56,True,False
6000,51.6,True,False
7000,55.08,False,False
8000,12.34,True,False
9000,36.14,False,False
10000,56.55,False,False
11000,38.33,False,False
12000,49.92,False,False
13000,60.14,True,False
14000,37.05,True,False
15000,51.93,False,False
16000,38.59,False,False
17000,39.85,False,False
18000,41.63,True,False
19000,53.94,False,False
20000,30.1,True,False
21000,33.03,False,False
22000,38.26,False,False
23000,36.29,True,False
24000,21.53,True,False
25000,30.89,True,False
26000,35.95,False,False
27000,44.14,True,False
28000,34.42,True,False
29000,55.73,True,False
30000,50.74,True,False
31000,55.77,True,False
32000,48.57,True,False
33000,39.68,False,False
34000,58.11,False,False
35000,37.63,False,False
36000,30.92,True,False
37000,40.93,True,False
38000,47.47,True,False
39000,33.97,True,False
40000,40.92,False,False
41000,39.42,False,False
42000,48.64,True,False
43000,45.39,False,False
44000,55.68,False,False
45000,34.71,True,False
46000,27.63,True,False
47000,58.85,False,False
48000,55.0,False,False
49000,37.24,False,False
50000,38.93,False,False
51000,51.01,False,False
52000,56.91,False,False
53000,32.54,True,False
54000,37.66,False,False
55000,60.05,False,False
56000,51.87,True,False
57000,37.47,False,False
58000,37.49,False,False
59000,66.89,True,False
60000,35.72,False,False
61000,64.87,True,False
62000,43.6,False,False
63000,39.77,False,False
64000,36.97,False,False
65000,36.19,False,False
66000,39.48,False,False
67000,33.63,True,False
68000,38.25,False,False
69000,55.15,True,False
70000,9.04,True,False
71000,36.55,False,False
72000,48.74,False,False
73000,39.48,True,False
74000,51.57,False,False
75000,41.34,False,False
76000,53.68,True,False
77000,25.72,True,False
78000,49.39,False,False
79000,37.66,False,False
80000,38.34,True,False
81000,38.57,False,False
82000,43.66,False,False
83000,43.9,False,False
84000,27.44,False,False
85000,42.43,True,False
86000,37.69,False,False
87000,24.81,True,False
88000,41.16,True,False
89000,39.33,False,False
90000,38.24,False,False
91000,39.04,False,False
92000,12.99,True,False
93000,34.36,True,False
94000,31.32,True,False
95000,38.45,False,False
96000,62.31,True,False
97000,11.83,True,False
98000,33.91,True,False
99000,41.93,True,False
100000,38.0,False,False
