CumEpisodes,AvgReward,SuccessRate,ElimRate
1000,32.11,33.2,0.0
2000,38.87,37.2,0.0
3000,39.09,42.0,0.0
4000,38.99,42.9,0.0
5000,38.36,46.6,0.0
6000,39.19,45.2,0.0
7000,40.05,42.7,0.0
8000,39.6,46.4,0.0
9000,39.53,45.4,0.0
10000,40.07,45.6,0.0
11000,40.28,48.1,0.0
12000,40.41,44.5,0.0
13000,40.23,43.0,0.0
14000,39.12,44.9,0.0
15000,40.15,47.2,0.0
16000,39.31,43.1,0.0
17000,39.3,43.8,0.0
18000,39.64,43.6,0.0
19000,39.65,43.5,0.0
20000,40.02,43.6,0.0
21000,39.53,45.8,0.0
22000,40.83,42.9,0.0
23000,40.35,43.8,0.0
24000,40.25,45.6,0.0
25000,39.6,46.7,0.0
26000,39.6,45.1,0.0
27000,40.54,46.1,0.0
28000,39.47,45.9,0.0
29000,40.26,45.7,0.0
30000,40.52,48.1,0.0
31000,40.66,46.5,0.0
32000,40.28,46.0,0.0
33000,39.66,45.7,0.0
34000,40.59,45.0,0.0
35000,40.89,46.1,0.0
36000,39.71,45.7,0.0
37000,40.08,45.7,0.0
38000,39.98,46.1,0.0
39000,40.42,44.3,0.0
40000,39.54,48.9,0.0
41000,40.38,43.2,0.0
42000,40.57,46.0,0.0
43000,39.45,48.1,0.0
44000,39.71,47.2,0.0
45000,40.24,46.1,0.0
46000,40.62,42.9,0.0
47000,40.62,50.1,0.0
48000,40.28,47.8,0.0
49000,40.43,46.5,0.0
50000,39.99,47.1,0.0
51000,40.69,44.2,0.0
52000,40.88,46.0,0.0
53000,40.45,44.8,0.0
54000,41.01,43.8,0.0
55000,40.17,47.3,0.0
56000,40.01,48.1,0.0
57000,40.27,46.2,0.0
58000,40.09,45.2,0.0
59000,39.86,47.2,0.0
60000,40.28,47.4,0.0
61000,40.4,45.4,0.0
62000,40.04,48.0,0.0
63000,40.21,46.1,0.0
64000,40.72,45.4,0.0
65000,40.43,43.6,0.0
66000,40.93,46.1,0.0
67000,40.55,45.1,0.0
68000,40.29,45.5,0.0
69000,40.82,45.3,0.0
70000,41.34,47.6,0.0
71000,40.4,47.4,0.0
72000,40.16,48.0,0.0
73000,40.26,46.9,0.0
74000,39.97,44.8,0.0
75000,40.33,46.4,0.0
76000,40.22,40.6,0.0
77000,40.76,47.0,0.0
78000,40.51,46.3,0.0
79000,40.04,45.8,0.0
80000,40.32,47.9,0.0
81000,40.6,44.3,0.0
82000,40.69,46.3,0.0
83000,41.09,46.3,0.0
84000,40.48,44.6,0.0
85000,40.16,46.4,0.0
86000,41.55,46.5,0.0
87000,41.05,46.0,0.0
88000,40.5,48.2,0.0
89000,40.0,46.3,0.0
90000,40.27,47.0,0.0
91000,40.52,46.1,0.0
92000,40.16,46.6,0.0
93000,40.32,42.7,0.0
94000,40.5,44.1,0.0
95000,40.76,44.8,0.0
96000,40.29,47.9,0.0
97000,40.06,48.3,0.0
98000,41.12,44.8,0.0
99000,40.48,47.4,0.0
100000,41.17,45.1,0.0
