CumEpisodes,MeanLoss
0,281.78139699999997
1000,321.47855409999994
2000,224.2550401
3000,185.5548038
4000,160.20415339999997
5000,141.70496110000002
6000,134.2656167
7000,120.76119739999999
8000,116.6876064
9000,108.9918038
10000,115.0098394
11000,106.7934857
12000,97.8207836
13000,89.2717208
14000,80.88982070000002
15000,73.6180315
16000,69.5722461
17000,62.4269275
18000,61.090318599999996
19000,58.2054296
20000,51.799955600000004
21000,52.9899187
22000,52.0516956
23000,51.610234899999995
24000,49.4537088
25000,48.772891300000005
26000,44.4005967
27000,44.193618900000004
28000,43.55215509999999
29000,42.7383451
30000,41.8058563
31000,42.1205066
32000,40.4559311
33000,41.09888
34000,37.8857377
35000,40.46201739999999
36000,40.3970815
37000,40.28697960000001
38000,38.502486499999996
39000,37.861332299999994
40000,38.2519788
41000,38.0507463
42000,34.6531114
43000,35.708669900000004
44000,37.2722981
45000,39.0220843
46000,34.7091353
47000,35.6700392
48000,33.265746299999996
49000,32.6026167
50000,32.1466849
51000,33.4352046
52000,33.960738899999996
53000,34.8545364
54000,36.779300799999994
55000,36.5406835
56000,33.3414441
57000,32.981933600000005
58000,33.842232900000006
59000,30.7547586
60000,28.0622515
61000,28.935681
62000,31.0529657
63000,32.028282
64000,31.6435138
65000,31.019300299999998
66000,29.384888200000002
67000,33.1220426
68000,31.962790500000004
69000,31.079322
70000,29.946518600000005
71000,30.7431665
72000,24.276980199999997
73000,28.4945772
74000,29.9172108
75000,33.4059138
76000,29.1186685
77000,29.2838031
78000,30.9386852
79000,31.3901367
80000,29.2267094
81000,25.452259700000003
82000,26.6737067
83000,28.650433399999997
84000,27.152002
85000,25.426198799999998
86000,28.5359569
87000,28.698752
88000,28.746098100000005
89000,28.7207165
90000,28.0601186
91000,27.910876100000003
92000,30.9867132
93000,28.9431396
94000,24.614834600000002
95000,25.863402999999998
96000,28.2247843
97000,31.6304624
98000,31.9746947
100000,31.6989639
