Run,Reward,Success,Elimination
306,136.7,True,True
307,-21.59,False,True
308,31.02,True,True
309,-29.11,False,True
310,-15.93,False,False
311,135.49,True,False
312,62.54,True,True
313,-39.99,False,True
314,60.54,True,True
315,45.17,True,True
316,24.3,True,True
317,0.31,True,True
318,-9.0,False,False
319,20.25,True,True
320,109.63,True,False
321,119.1,True,False
322,59.4,True,True
323,-29.47,False,False
324,73.62,True,True
325,-74.9,False,False
326,-4.8,False,True
327,54.28,True,True
328,-9.64,False,True
329,-61.34,False,False
330,1.62,True,True
331,-25.57,False,True
332,5.24,True,True
333,37.07,True,True
334,4.8,True,True
335,-4.36,False,True
336,-11.01,False,True
337,-7.97,False,False
338,14.12,True,True
339,-22.95,False,True
340,-92.64,False,False
341,-17.87,False,False
342,-36.72,False,False
343,-88.11,False,False
344,47.03,True,True
345,56.12,True,True
346,0.14,True,False
347,-28.77,False,False
348,-35.0,False,False
349,20.86,True,True
350,-18.54,False,True
351,-38.79,False,False
352,-55.31,False,False
353,-33.12,False,True
354,13.63,True,True
355,22.85,True,True
356,173.42,True,True
357,-46.51,False,False
358,-26.82,False,True
359,0.83,True,True
360,-33.96,False,False
361,13.17,True,True
362,-63.22,False,False
363,9.87,True,True
364,-30.83,False,True
365,40.09,True,True
366,-59.54,False,False
367,30.18,True,True
368,-34.01,False,False
369,27.23,True,True
370,-59.14,False,False
371,77.49,True,True
372,34.17,True,True
373,71.07,True,True
374,62.18,True,True
375,-97.63,False,False
376,-34.34,False,False
377,1.77,True,False
378,-35.32,False,True
379,75.45,True,False
380,-7.42,False,True
381,-65.04,False,False
382,35.85,True,True
383,-26.35,False,True
384,38.07,True,True
385,-46.16,False,False
386,32.33,True,True
387,31.02,True,True
388,-34.65,False,False
389,-1.0,False,False
390,3.37,True,True
391,-21.04,False,False
392,-100.3,False,False
393,60.04,True,True
394,-11.13,False,False
395,-21.09,False,True
396,179.57,True,True
397,94.51,True,False
398,-93.96,False,False
399,7.54,True,True
400,-113.42,False,False
401,-7.01,False,True
402,-103.88,False,False
403,128.39,True,False
404,-33.89,False,False
405,-59.59,False,False
406,-87.07,False,False
407,-63.58,False,False
408,142.05,True,False
409,164.59,True,False
410,29.51,True,True
411,127.11,True,True
412,105.62,True,False
413,-65.86,False,False
414,-2.14,False,True
415,-95.9,False,False
416,52.04,True,True
417,-28.42,False,True
418,47.33,True,True
419,60.4,True,True
420,37.85,True,True
421,67.42,True,True
422,-2.41,False,True
423,-90.39,False,False
424,-34.82,False,False
425,48.75,True,True
426,-92.44,False,False
427,84.83,True,False
428,20.76,True,True
429,151.83,True,False
430,99.87,True,False
431,-38.8,False,False
432,28.89,True,True
433,38.64,True,True
434,29.03,True,True
435,47.47,True,True
436,-27.26,False,False
437,234.51,True,True
438,121.89,True,False
439,-30.01,False,False
440,20.3,True,True
441,41.93,True,True
442,-36.85,False,False
443,-51.42,False,True
444,153.65,True,True
445,-124.38,False,False
446,49.48,True,True
447,128.34,True,True
448,-16.67,False,True
449,144.72,True,False
450,17.36,True,True
451,-107.84,False,False
452,-30.85,False,False
453,37.31,True,True
454,-47.91,False,False
455,-50.81,False,False
456,-24.64,False,False
457,-31.59,False,False
458,110.2,True,False
459,-118.39,False,False
460,141.74,True,False
461,-39.91,False,False
462,-56.88,False,False
463,-20.05,False,True
