Run,AvgReward,SuccessRate,ElimRate
221,-13.88,16.0,0.0
222,30.13,36.0,0.0
223,-39.76,12.0,0.0
224,-29.34,8.0,0.0
225,-9.05,20.0,0.0
226,48.85,52.0,0.0
227,82.7,64.0,0.0
228,3.91,24.0,0.0
229,-64.53,0.0,0.0
230,45.75,44.0,0.0
231,26.45,44.0,0.0
232,-14.63,12.0,0.0
233,16.32,24.0,0.0
234,2.21,28.0,0.0
235,-34.7,12.0,0.0
236,-14.16,12.0,0.0
237,-22.52,12.0,0.0
238,-9.26,20.0,0.0
239,-69.12,4.0,0.0
240,17.84,40.0,0.0
241,-42.92,4.0,0.0
242,-6.49,12.0,0.0
243,18.04,24.0,0.0
244,-51.94,0.0,0.0
245,-36.9,8.0,0.0
246,-30.24,4.0,0.0
247,-43.49,12.0,0.0
248,-14.84,20.0,0.0
249,-65.83,0.0,0.0
250,43.99,48.0,0.0
251,3.88,20.0,0.0
252,20.7,36.0,0.0
253,-13.2,20.0,0.0
254,-45.53,0.0,0.0
255,26.3,28.0,0.0
256,50.07,44.0,0.0
257,52.56,60.0,0.0
258,-32.08,8.0,0.0
259,56.47,56.0,0.0
260,-4.02,24.0,0.0
261,-42.28,8.0,0.0
262,41.63,52.0,0.0
263,35.0,52.0,0.0
264,37.52,40.0,0.0
265,-51.73,8.0,0.0
266,-51.34,8.0,0.0
267,28.98,40.0,0.0
268,32.2,32.0,0.0
269,-53.81,12.0,0.0
270,-30.68,8.0,0.0
271,-33.14,16.0,0.0
272,5.49,20.0,0.0
273,7.48,32.0,0.0
274,-26.35,12.0,0.0
275,-33.15,12.0,0.0
276,-27.36,4.0,0.0
277,-38.69,8.0,0.0
278,-64.05,0.0,0.0
279,5.58,28.0,0.0
280,-17.66,20.0,0.0
281,37.99,32.0,0.0
282,23.27,36.0,0.0
283,10.3,24.0,0.0
284,-14.29,8.0,0.0
285,-61.24,0.0,0.0
286,-2.84,12.0,0.0
287,-2.6,20.0,0.0
288,11.49,28.0,0.0
289,-43.43,8.0,0.0
290,-11.57,16.0,0.0
291,-0.99,16.0,0.0
292,-43.84,4.0,0.0
293,19.45,44.0,0.0
294,-46.82,4.0,0.0
295,7.36,24.0,0.0
296,11.14,32.0,0.0
297,1.92,16.0,0.0
298,-2.14,20.0,0.0
299,32.11,36.0,0.0
300,-33.39,0.0,0.0
301,-33.21,10.0,0.0
302,6.09,20.0,0.0
303,-49.08,0.0,0.0
304,-5.69,20.0,0.0
305,-44.42,0.0,0.0
306,28.04,40.0,0.0
307,-52.56,0.0,0.0
308,-10.32,10.0,0.0
309,-67.49,0.0,0.0
310,51.69,40.0,0.0
311,-21.15,10.0,0.0
312,-17.16,10.0,0.0
313,-62.96,0.0,0.0
314,-36.7,10.0,0.0
315,-7.37,20.0,0.0
316,-44.51,0.0,0.0
317,-8.02,20.0,0.0
318,-39.92,10.0,0.0
319,-20.37,20.0,0.0
320,-16.38,20.0,0.0
321,0.57,30.0,0.0
322,115.26,80.0,0.0
323,16.9,30.0,0.0
324,-17.03,20.0,0.0
325,36.0,50.0,0.0
326,-18.46,20.0,0.0
327,-49.26,0.0,0.0
328,-28.24,10.0,0.0
329,-60.45,0.0,0.0
330,133.09,100.0,0.0
331,-21.48,20.0,0.0
332,-11.34,20.0,0.0
333,22.88,30.0,0.0
334,-42.31,0.0,0.0
335,-52.77,10.0,0.0
336,44.18,50.0,0.0
337,-22.37,20.0,0.0
338,-6.71,10.0,0.0
339,-17.55,20.0,0.0
340,-51.37,10.0,0.0
341,33.17,40.0,0.0
342,-15.91,20.0,0.0
343,-63.75,0.0,0.0
344,-16.08,10.0,0.0
345,-4.04,20.0,0.0
346,-11.47,20.0,0.0
347,12.09,30.0,0.0
348,10.0,30.0,0.0
349,-13.99,20.0,0.0
350,-58.18,0.0,0.0
351,-17.05,10.0,0.0
352,3.77,30.0,0.0
353,19.94,30.0,0.0
354,-72.06,0.0,0.0
355,-37.81,0.0,0.0
356,2.94,20.0,0.0
357,25.82,40.0,0.0
358,-61.97,0.0,0.0
359,137.68,100.0,0.0
360,-22.03,10.0,0.0
361,-11.73,20.0,0.0
362,-25.05,10.0,0.0
363,141.35,100.0,0.0
364,5.65,20.0,0.0
365,-45.21,10.0,0.0
366,131.98,100.0,0.0
367,-8.4,10.0,0.0
368,-57.93,0.0,0.0
369,16.25,30.0,0.0
370,-24.15,10.0,0.0
371,-42.94,10.0,0.0
372,-4.61,20.0,0.0
373,-2.49,30.0,0.0
374,133.64,100.0,0.0
375,-16.26,10.0,0.0
376,-5.42,20.0,0.0
377,-42.52,0.0,0.0
378,-53.43,0.0,0.0
379,-39.6,10.0,0.0
380,11.08,20.0,0.0
381,-25.59,10.0,0.0
382,25.26,30.0,0.0
383,-59.86,0.0,0.0
384,-40.76,0.0,0.0
385,-16.28,10.0,0.0
386,34.68,40.0,0.0
387,-48.39,10.0,0.0
388,26.91,40.0,0.0
389,-68.12,0.0,0.0
390,105.35,90.0,0.0
391,-38.81,10.0,0.0
392,-27.55,10.0,0.0
393,20.39,40.0,0.0
394,-21.45,10.0,0.0
395,-52.6,0.0,0.0
396,-28.3,10.0,0.0
