Run,Reward,Success,Elimination
297,167.13,True,False
298,-55.44,False,False
299,-60.87,False,False
300,19.69,True,False
301,-97.31,False,False
302,-46.13,False,False
303,-68.6,False,False
304,-41.18,False,False
305,-33.37,False,False
306,-42.75,False,False
307,-97.52,False,False
308,-51.63,False,False
309,-70.1,False,False
310,-24.25,False,False
311,-38.45,False,False
312,-39.75,False,False
313,87.1,True,False
314,-27.23,False,False
315,98.19,True,False
316,-24.04,False,False
317,-34.02,False,False
318,0.94,True,False
319,151.2,True,False
320,-11.63,False,False
321,102.48,True,False
322,-4.15,False,False
323,-156.69,False,False
324,89.02,True,False
325,-15.81,False,False
326,143.59,True,False
327,36.48,True,False
328,2.68,True,False
329,-45.8,False,False
330,-69.21,False,False
331,-92.49,False,False
332,-47.85,False,False
333,-107.3,False,False
334,-94.27,False,False
335,-36.88,False,False
336,0.62,True,False
337,76.68,True,False
338,-45.51,False,False
339,-23.9,False,False
340,-95.91,False,False
341,16.78,True,False
342,-54.65,False,False
343,137.08,True,False
344,-29.12,False,False
345,144.09,True,False
346,-27.31,False,False
347,-50.0,False,False
348,-41.23,False,False
349,-44.17,False,False
350,-60.76,False,False
351,-45.33,False,False
352,-27.15,False,False
353,-101.78,False,False
354,-33.59,False,False
355,139.21,True,False
356,-65.54,False,False
357,-44.23,False,False
358,148.26,True,False
359,-67.35,False,False
360,-33.32,False,False
361,-42.5,False,False
362,-86.64,False,False
363,181.75,True,False
364,-50.21,False,False
365,-44.29,False,False
366,-82.01,False,False
367,-36.93,False,False
368,-81.55,False,False
369,-31.73,False,False
370,110.39,True,False
371,-71.56,False,False
372,157.71,True,False
373,-51.23,False,False
374,-81.58,False,False
375,-103.51,False,False
376,-78.04,False,False
377,98.05,True,False
378,0.63,True,False
379,-5.11,False,False
380,-76.41,False,False
381,-14.5,False,False
382,-57.56,False,False
383,-54.63,False,False
384,-57.35,False,False
385,-58.12,False,False
386,-42.73,False,False
387,-44.84,False,False
388,-41.55,False,False
389,-2.36,False,False
390,-24.12,False,False
391,-80.39,False,False
392,-42.9,False,False
393,-68.69,False,False
394,-53.26,False,False
395,-25.24,False,False
396,-105.88,False,False
397,159.89,True,False
398,-10.68,False,False
399,-38.51,False,False
400,-48.69,False,False
401,149.87,True,False
402,-41.07,False,False
403,-33.12,False,False
404,-101.95,False,False
405,17.47,True,False
406,-68.82,False,False
407,-116.45,False,False
408,-13.06,False,False
409,-105.62,False,False
410,-62.15,False,False
411,101.66,True,False
412,-29.91,False,False
413,-81.88,False,False
414,113.89,True,False
415,-94.68,False,False
416,-113.44,False,False
417,-36.68,False,False
418,81.97,True,False
419,91.74,True,False
420,80.29,True,False
421,126.4,True,False
422,-10.57,False,False
423,-26.1,False,False
424,-22.34,False,False
425,-107.29,False,False
426,-116.0,False,False
427,-115.31,False,False
428,81.75,True,False
429,-75.91,False,False
430,-90.42,False,False
431,104.43,True,False
432,33.85,True,False
433,-94.46,False,False
434,103.81,True,False
435,-112.25,False,False
436,20.44,True,False
437,-43.12,False,False
438,-34.63,False,False
439,102.75,True,False
440,-123.25,False,False
441,5.25,True,False
442,-25.4,False,False
443,-7.19,False,False
444,115.25,True,False
445,-64.15,False,False
446,-33.74,False,False
447,-1.27,False,False
448,-103.65,False,False
449,-63.55,False,False
450,174.81,True,False
451,-20.75,False,False
452,135.59,True,False
453,-98.24,False,False
454,-5.57,False,False
455,-66.22,False,False
456,-28.03,False,False
457,-36.11,False,False
458,-36.82,False,False
459,-26.47,False,False
460,-53.6,False,False
461,-54.57,False,False
462,-55.45,False,False
463,-66.56,False,False
464,-102.51,False,False
465,5.91,True,False
466,-40.68,False,False
467,-35.59,False,False
468,-77.41,False,False
469,-34.84,False,False
470,-46.05,False,False
471,-68.33,False,False
472,-129.6,False,False
473,-95.24,False,False
474,-54.96,False,False
475,-4.28,False,False
476,-116.29,False,False
477,-60.32,False,False
478,-53.89,False,False
479,128.19,True,False
480,-24.56,False,False
481,-44.12,False,False
482,-48.47,False,False
